Дата,"Россия индекс потребительских цен (ИПЦ, 2010 - базовый год)"
4/30/2023,236.70
3/31/2023,235.80
2/28/2023,234.90
1/31/2023,233.90
12/31/2022,231.90
11/30/2022,230.10
10/31/2022,229.30
9/30/2022,228.80
8/31/2022,228.70
7/31/2022,229.90
6/30/2022,230.80
5/31/2022,231.60
4/30/2022,231.40
3/31/2022,227.80
2/28/2022,211.70
1/31/2022,209.20
12/31/2021,207.20
11/30/2021,205.50
10/31/2021,203.50
9/30/2021,201.30
8/31/2021,200.10
7/31/2021,199.80
6/30/2021,199.10
5/31/2021,197.80
4/30/2021,196.30
3/31/2021,195.20
2/28/2021,193.90
1/31/2021,192.40
12/31/2020,191.10
11/30/2020,189.60
10/31/2020,188.20
9/30/2020,187.40
8/31/2020,187.60
7/31/2020,187.60
6/30/2020,187.00
5/31/2020,186.60
4/30/2020,186.10
3/31/2020,184.50
2/29/2020,183.50
1/31/2020,182.90
12/31/2019,182.20
11/30/2019,181.50
10/31/2019,181.00
9/30/2019,180.80
8/31/2019,181.10
7/31/2019,181.50
6/30/2019,181.20
5/31/2019,181.10
4/30/2019,180.50
3/31/2019,179.90
2/28/2019,179.40
1/31/2019,178.60
12/31/2018,176.80
11/30/2018,175.30
10/31/2018,174.50
9/30/2018,173.90
8/31/2018,173.60
7/31/2018,173.60
6/30/2018,173.10
5/31/2018,172.30
4/30/2018,171.60
3/31/2018,171.00
2/28/2018,170.50
1/31/2018,170.10
12/31/2017,169.60
11/30/2017,168.90
10/31/2017,168.50
9/30/2017,168.20
8/31/2017,168.40
7/31/2017,169.30
6/30/2017,169.20
5/31/2017,168.20
4/30/2017,167.60
3/31/2017,167.00
2/28/2017,166.80
1/31/2017,166.50
12/31/2016,165.40
11/30/2016,164.80
10/31/2016,164.10
9/30/2016,163.30
8/31/2016,163.10
7/31/2016,163.10
6/30/2016,162.20
5/31/2016,161.60
4/30/2016,160.90
3/31/2016,160.20
2/29/2016,159.50
1/31/2016,158.50
12/31/2015,157.00
11/30/2015,155.80
10/31/2015,154.60
9/30/2015,153.50
8/31/2015,152.60
7/31/2015,152.10
6/30/2015,150.90
5/31/2015,150.60
4/30/2015,150.00
3/31/2015,149.40
2/28/2015,147.60
1/31/2015,144.40
12/31/2014,139.00
11/30/2014,135.50
10/31/2014,133.80
9/30/2014,132.70
8/31/2014,131.80
7/31/2014,131.50
6/30/2014,130.90
5/31/2014,130.10
4/30/2014,128.90
3/31/2014,127.80
2/28/2014,126.50
1/31/2014,125.60
12/31/2013,124.90
11/30/2013,124.30
10/31/2013,123.50
9/30/2013,122.80
8/31/2013,122.60
7/31/2013,122.40
6/30/2013,121.40
5/31/2013,120.90
